,name,pri,casrn,class,mw,use
0,,50030,,Not Listed,Not Listed,
1,,50331,,,Not Listed,Not Listed
2,,51035,Not Listed,Not Listed,Not Listed,Not Listed
3,,51655,,Not Listed,Not Listed,
4,,52456,Not Listed,Not Listed,Not Listed,Not Listed
5,,52553,,,Not Listed,Not Listed
6,,55836,Not Listed,Not Listed,Not Listed,Not Listed
7,,55894,Not Listed,Not Listed,Not Listed,Not Listed
8,,59314,Not Listed,Not Listed,Not Listed,Not Listed
9,,61366,Not Listed,Not Listed,Not Listed,Not Listed
10,,64267,Not Listed,Not Listed,Not Listed,Not Listed
11,,65739,,,Not Listed,Not Listed
12,,66991,Not Listed,Not Listed,Not Listed,Not Listed
13,,84310,Not Listed,Not Listed,Not Listed,Not Listed
14,,84604,,Not Listed,Not Listed,
15,,87274,Not Listed,Not Listed,Not Listed,Not Listed
16,,88260,Not Listed,Not Listed,Not Listed,Not Listed
17,,88652,Not Listed,Not Listed,Not Listed,Not Listed
18,,89732,Not Listed,Not Listed,Not Listed,Not Listed
19,,90226,Not Listed,Not Listed,Not Listed,Not Listed
20,,90717,,,Not Listed,Not Listed
21,,91303,Not Listed,Not Listed,Not Listed,Not Listed
22,,91595,Not Listed,Not Listed,Not Listed,Not Listed
23,,91692,Not Listed,Not Listed,Not Listed,Not Listed
24,,91789,Not Listed,Not Listed,Not Listed,Not Listed
25,,92176,,Not Listed,Not Listed,
26,,93158,Not Listed,Not Listed,Not Listed,Not Listed
27,,93453,Not Listed,Not Listed,Not Listed,Not Listed
28,,93816,Not Listed,Not Listed,Not Listed,Not Listed
29,,93832,Not Listed,Not Listed,Not Listed,Not Listed
30,,93873,Not Listed,Not Listed,Not Listed,Not Listed
31,,94020,Not Listed,Not Listed,Not Listed,Not Listed
32,,94069,Not Listed,Not Listed,Not Listed,Not Listed
33,,94224,Not Listed,Not Listed,Not Listed,Not Listed
34,,94273,Not Listed,Not Listed,Not Listed,Not Listed
35,,94627,Not Listed,Not Listed,Not Listed,Not Listed
36,,95109,Not Listed,Not Listed,Not Listed,Not Listed
37,,95240,Not Listed,Not Listed,Not Listed,Not Listed
38,,95397,Not Listed,Not Listed,Not Listed,Not Listed
39,,95512,,,Not Listed,Not Listed
40,,95607,Not Listed,Not Listed,Not Listed,Not Listed
41,,95627,Not Listed,Not Listed,Not Listed,Not Listed
42,,95676,Not Listed,Not Listed,Not Listed,Not Listed
43,,95709,Not Listed,Not Listed,Not Listed,Not Listed
44,,95759,Not Listed,Not Listed,Not Listed,Not Listed
45,,96002,,Not Listed,Not Listed,
46,,96101,Not Listed,Not Listed,Not Listed,Not Listed
47,,96527,Not Listed,Not Listed,Not Listed,Not Listed
48,,96720,Not Listed,Not Listed,Not Listed,Not Listed
49,,96957,Not Listed,Not Listed,Not Listed,Not Listed
50,,97019,Not Listed,Not Listed,Not Listed,Not Listed
51,,97048,Not Listed,Not Listed,Not Listed,Not Listed
52,,97169,Not Listed,Not Listed,Not Listed,Not Listed
53,,98097,Not Listed,Not Listed,Not Listed,Not Listed
54,,98991,Not Listed,Not Listed,Not Listed,Not Listed
55,,99776,,Not Listed,Not Listed,
