Active Substance ID,Substance,CAS Number,Status under Reg. (EC) No 1107/2009,Date of approval,Expiration of approval,Legislation,Remark,RMS,Co-RMS,Assess Risk,Reg 396/2005,Candidate for substitution,Basic substance,Low-risk a.s.,ADI (mg/kg bw/d),Source/Year,Remark,ARfD (mg/kg bw),Source/Year,Remark,AOEL (mg/kg bw/d),Source/Year,Remark,AAOEL (mg/kg bw/d),Source/Year,Remark,Other (mg/kg bw/d),Source/Year,Remark,Classification (Reg. 1272/2008),Authorised,Functions
1062,(3E)-dec-3-en-2-one,10519-33-2,Pending,,,Reg. (EU) 2016/138,<p>Originally not approved: Reg. (EU) 2016/138</p><p>Admissible application according to Article 9 of Regulation (EC) No 1107/2009. Date of admissibility: 29/08/2017</p>,NL,,,Reg. (EU) 2016/1866,,,,Not Applicable, Reg. (EU) 2016/138,Not set due to insufficient data,Not Applicable, Reg. (EU) 2016/138,Not set due to insufficient data,Not Applicable, Reg. (EU) 2016/138,Not set due to insufficient data,,,,,,,,,
351,"(4Z-9Z)-7,9-Dodecadien-1-ol",No CAS allocated,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,,,,,,,,AT
1329,(E)-10-Dodecen-1-yl acetate,No CAS allocated,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,,,,,,,,AT
357,(E)-11-Tetradecen-1-yl acetate (SCLP Acetates),33189-72-9,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,Dir 08/127,,,Dir 08/127,,,Dir 08/127,,,,,,,,,"EE, ES",AT
358,"(E)-2-Methyl-6-methylene-2,7-octadien-1-ol (myrcenol)",543-39-5,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,,,,,,,,
359,"(E)-2-Methyl-6-methylene-3,7-octadien-2-ol (isomyrcenol)",No CAS allocated,Not approved,,,,<p>Never notified and authorised in the EU</p>,,,,,,,,,,,,,,,,,,,,,,,,,
360,(E)-5-Decen-1-ol (SCLP Alcohols),56578-18-8,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",<p>RMS responsible for the last approval: AT</p><p>Co-RMS responsible for the last approval: IT</p>,AT,IT,EFSA,Reg. (EU) 2023/1719,,,,,,,,,,,,,,,,,,,,"EL, ES, IT, PT",AT
1330,(E)-5-Decen-1-yl acetate (SCLP Acetates),38421-90-8,Approved,1/9/2022,30/08/2037,"Reg. (EU) 2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"EL, ES, FR, IT, PT",AT
361,(E)-8-Dodecen-1-yl acetate (SCLP Acetates),38363-29-0,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"AT, BG, DE, EL, ES, FR, IT, NL, PT, SI",AT
696,(E)-9-Dodecen-1-yl acetate,3913-81-3,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,,,,,,,,
352,"(E,E)-7,9-Dodecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) 2022/708, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160","<p>CAS, other source than ECHA: 54364-63-5</p>",IT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"EL, ES, IT",AT
362,"(E,E)-8,10-Dodecadien-1-ol (SCLP Alcohols)",33956-49-9,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,,,,,,,,,,,,,,,,,,"AT, BE, BG, CZ, DE, DK, EE, EL, ES, FI, FR, HR, HU, IT, NL, PL, PT, SE, SI, SK",AT
355,"(E,E)-8,10-Dodecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,1/9/2022,30/08/2037,"2007/442, Reg. (EU) 2022/1251",,,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"ES, PT",
349,"(E,Z)-2,13-Octadecadien-1-yl acetate (SCLP Acetates)",86252-65-5,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,IT,FR,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"BE, BG, ES, FR, IT, LV, PL, PT",AT
1499,"(E,Z)-3,13-Octadecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,1/9/2022,30/08/2037,"Reg. (EU) 2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"BE, BG, ES, FR, IT, LV, PL, PT",AT
1241,"(E,Z)-3,8-Tetradecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"AT, BE, BG, CY, CZ, DE, FR, HU, IE, IT, MT, NL, PL, PT, RO",AT
350,"(E,Z)-4,7-Tridecadien-1-yl acetate",No CAS allocated,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,,,,,,,,AT
1328,"(E,Z)-7,9-Dodecadien-1-yl acetate (SCLP Acetates)",54364-62-4,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160, http://data.europa.eu/eli/reg_impl/2022/1251/oj",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"AT, CY, CZ, DE, EL, ES, FR, HU, IT, LU, MT, PT, SI, SK",AT
363,"(E,Z)-8,10-Tetradecadien-1-yl",No CAS allocated,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,,,,,,,,
364,"(E,Z)-8-Dodecen-1-yl acetate",No CAS allocated,Not approved,1/9/2009,31/08/2023,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/708, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",<p>Substance fulfilling criteria Annex VI Reg. 2229/2004</p><p><br></p>,AT,,COM,,,,,,,,,,,,,,,,,,,,,"EL, ES, FR, IT, PT",AT
1331,"(E,Z)-9-Dodecen-1-yl acetate",No CAS allocated,Not approved,1/9/2009,31/08/2023,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/708, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160","<p>Substance fulfilling criteria Annex VI Reg. 2229/2004</p><p>CAS, other source than ECHA: 30507-70-1</p>",AT,,COM,,,,,,,,,,,,,,,,,,,,,,OT
1340,"(E,Z)-9-dodecen-1-yl acetate; (E,Z)-9-Dodecen-1-ol; (Z)-11-Tetradecen-1-yl acetate",See individual CAS,Not approved,,,,<p>attr/rep/org</p>,,,,,,,,,,,,,,,,,,,,,,,,"AT, IT",AT
1240,"(E,Z,Z)-3,8,11-Tetradecatrien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"AT, BE, BG, CY, CZ, DE, EL, ES, FR, HU, IE, IT, MT, NL, PL, PT, RO",AT
365,"(IR)-1,3,3-Trimethyl-4,6-dioxatricyclo[3.3.1.02,7]nonane (lineatin)",No CAS allocated,Not approved,,,2007/442,"<p>CAS, other source than ECHA: 54364-63-7</p>",,,,,,,,,,,,,,,,,,,,,,,,,
366,(Z)-11-Hexadecen-1-ol (SCLP Alcohols),56683-54-6,Approved,1/9/2022,30/08/2037,"Reg. (EU) 2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,,,,,,,,,,,,,,,,,,,AT
367,(Z)-11-Hexadecen-1-yl acetate (SCLP Acetates),34010-21-4,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,ES,AT
1017,(Z)-11-Hexadecenal (SCLP Aldehydes),53939-28-9,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,,,,,,,,,,,,,,,,,,"ES, FR, IT, PT",
368,(Z)-11-Tetradecen-1-yl acetate (SCLP Acetates),20711-10-8,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"AT, BE, BG, CZ, DE, DK, EL, ES, FI, FR, HU, IT, NL, PL, SE",AT
810,(Z)-13-Hexadecen-11-yn-1-yl acetate,78617-58-0,Not approved,,,"2008/127, Reg. (EU) 2015/418, Reg. (EU) 2016/638, Reg. (EU) No 540/2011",<p>Max. period of grace: 13 November 2017</p>,AT,,,,,,,,Dir 08/127,,,Dir 08/127,,,Dir 08/127,,,,,,,,,,
1341,(Z)-13-Octadecenal (SCLP Aldehydes),58594-45-9,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,,,,,,,,,,,,,,,,,,"ES, FR",AT
369,"(Z)-3-Methyl-6-isopropenyl-3,4-decadien-1-yl acetate",No CAS allocated,Not approved,,,2004/129/EC,"<p>CAS, other source than ECHA: 68916-59-6</p>",,,,,,,,,,,,,,,,,,,,,,,,,AT
370,(Z)-3-Methyl-6-isopropenyl-9-decen-1-yl acetate,50373-78-1,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,,,,,,,,AT
371,(Z)-5-Dodecen-1-yl acetate,No CAS allocated,Not approved,,,2004/129/EC,"<p>CAS, other source than ECHA: 34039-03-5</p>",,,,,,,,,,,,,,,,,,,,,,,,,AT
372,(Z)-7-Tetradecanole,No CAS allocated,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,,,,,,,,AT
1342,(Z)-7-Tetradecenal (SCLP Aldehydes),65128-96-3,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,,,,,,,,,,,,,,,,,,"MT, PT",
1496,(Z)-7-dodecen-1-yl acetate (SCLP Actetates),No CAS allocated,Approved,1/9/2022,30/08/2037,"Reg. (EU) 2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,,AT
373,(Z)-8-Dodecen-1-ol (SCLP Alcohols),40642-40-8,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,,,,,,,,,,,,,,,,,,"AT, BG, DE, EL, ES, FR, IT, NL, PT, SI",AT
374,(Z)-8-Dodecen-1-yl acetate (SCLP Actetates),28079-04-1,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"AT, BG, DE, EL, ES, FR, HU, IT, NL, PT, SI",AT
1245,(Z)-8-Tetradecen-1-ol (SCLP Alcohols),No CAS allocated,Approved,1/9/2022,30/08/2037,"Reg. (EU) 2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,,,,,,,,,,,,,,,,,,"BE, PL, SE",AT
1246,(Z)-8-Tetradecen-1-yl acetate (SCLP Acetates),No CAS allocated,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"BE, PL, SE",AT
375,(Z)-9-Dodecen-1-yl acetate (SCLP Acetates),16974-11-1,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"AT, CZ, DE, FR, HU, IT, LU, SI, SK",AT
376,(Z)-9-Hexadecenal (SCLP Aldehydes),56219-04-6,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,,,,,,,,,,,,,,,,,,"ES, FR",
1512,(Z)-9-Tetradecen-1-ol (SCLP Alcohols),No CAS allocated,Approved,1/9/2022,30/08/2037,"Reg. (EU) 2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,,,EFSA,Reg. (EU) 2023/1719,,,,,,,,,,,,,,,,,,,,PL,AT
377,(Z)-9-Tetradecen-1-yl acetate (SCLP Acetates),16725-53-4,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,"AT, BE, BG, CZ, DE, DK, EL, ES, FR, HU, IT, SE",AT
1343,(Z)-9-Tricosene (formerly Z-9-Tricosene),27519-02-4,Not approved,,,,<p>attr/rep/org</p>,,,,,,,,,,,,,,,,,,,,,,,,,AT
1380,"(Z,E)-3,7,11-trimethyl-2,6,10-dodecatrien-1-ol ( aka Farnesol)",4602-84-0,Not approved,,,,"<p>Never notified and authorised in the EU</p><p>EC : <a href=""https://chem.echa.europa.eu/100.022.731"" rel=""noopener noreferrer"" target=""_blank"" style=""background-color: rgb(255, 255, 255);"">225-004-1</a></p>",,,,,,,,,,,,,,,,,,,,,,,,,AT
353,"(Z,E)-7,11-Hexadecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160","<p>CAS, other source than ECHA: 51606-94-4</p>",IT,FR,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,EL,AT
1226,"(Z,E)-9,11-tetradecadien-1-yl-acetate (SCLP Acetates)",No CAS allocated,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,,,,,,,,,,,,,,,,,AT
356,"(Z,E)-9,12-Tetradecadien-1-yl acetate (SCLP  - Acetates)",31654-77-0,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,AT,,EFSA,Reg. (EU) 2023/1719,,,Yes,,Dir 08/127,,,Dir 08/127,,,Dir 08/127,,,,,,,,,ES,AT
1500,"(Z,Z)-3,13-Octadecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,Approved,1/9/2022,30/08/2037,"2008/127, Reg. (EU) 2017/195, Reg. (EU) 2021/745, Reg. (EU) 2022/1251, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",,,,EFSA,Reg. (EU) 2023/1719,,,Yes,,Dir 08/127,,,Dir 08/127,,,Dir 08/127,,,,,,,,,,AT
