DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,QC Level,# ToxCast Active,Total Assays,% ToxCast Active
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022301,Flucythrinate,70124-77-5,GBIHOLCMZGAKNG-UHFFFAOYSA-N,Cyano(3-phenoxyphenyl)methyl 2-[4-(difluoromethoxy)phenyl]-3-methylbutanoate,CC(C)C(C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(OC(F)F)C=C1,"InChI=1/C26H23F2NO4/c1-17(2)24(18-11-13-21(14-12-18)32-26(27)28)25(30)33-23(16-29)19-7-6-10-22(15-19)31-20-8-4-3-5-9-20/h3-15,17,23-24,26H,1-2H3
",C26H23F2NO4,451.47,451.159515,1,23/321,321,7
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024002,Fenpropathrin,39515-41-8,XQUXKZZNEFRCAW-UHFFFAOYSA-N,"Cyano(3-phenoxyphenyl)methyl 2,2,3,3-tetramethylcyclopropane-1-carboxylate",CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,"InChI=1/C22H23NO3/c1-21(2)19(22(21,3)4)20(24)26-18(14-23)15-9-8-12-17(13-15)25-16-10-6-5-7-11-16/h5-13,18-19H,1-4H3
",C22H23NO3,349.43,349.167794,1,115/677,677,17
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024343,Tralomethrin,66841-25-6,YWSCPYYRJXKUDB-UHFFFAOYSA-N,"Cyano(3-phenoxyphenyl)methyl 2,2-dimethyl-3-(1,2,2,2-tetrabromoethyl)cyclopropane-1-carboxylate",CC1(C)C(C(Br)C(Br)(Br)Br)C1C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1,"InChI=1/C22H19Br4NO3/c1-21(2)17(19(23)22(24,25)26)18(21)20(28)30-16(12-27)13-7-6-10-15(11-13)29-14-8-4-3-5-9-14/h3-11,16-19H,1-2H3
",C22H19Br4NO3,665.014,660.809845,1, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0032572,Prallethrin,23031-36-9,SMKRKQBMYOFFMU-UHFFFAOYSA-N,"2-Methyl-4-oxo-3-(prop-2-yn-1-yl)cyclopent-2-en-1-yl 2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropane-1-carboxylate",CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C,"InChI=1/C19H24O3/c1-7-8-13-12(4)16(10-15(13)20)22-18(21)17-14(9-11(2)3)19(17,5)6/h1,9,14,16-17H,8,10H2,2-6H3
",C19H24O3,300.398,300.172545,1,210/782,782,27
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1023998,Cypermethrin,52315-07-8,KAATUXNTWXVJKI-UHFFFAOYSA-N,"Cyano(3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,"InChI=1/C22H19Cl2NO3/c1-22(2)17(12-19(23)24)20(22)21(26)28-18(13-25)14-7-6-10-16(11-14)27-15-8-4-3-5-9-15/h3-12,17-18,20H,1-2H3
",C22H19Cl2NO3,416.3,415.074199,1,131/846,846,15
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3020621,"(R,R)-Fenvalerate",67614-33-9,NYPJDWWKZLNGGM-BJKOFHAPSA-N,(R)-Cyano(3-phenoxyphenyl)methyl (2R)-2-(4-chlorophenyl)-3-methylbutanoate,CC(C)[C@@H](C(=O)O[C@@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(Cl)C=C1,"InChI=1S/C25H22ClNO3/c1-17(2)24(18-11-13-20(26)14-12-18)25(28)30-23(16-27)19-7-6-10-22(15-19)29-21-8-4-3-5-9-21/h3-15,17,23-24H,1-2H3/t23-,24+/m0/s1
",C25H22ClNO3,419.91,419.128821,1,47/363,363,13
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4032536,Cyphenothrin,39515-40-7,FJDPATXIBIBRIM-UHFFFAOYSA-N,"Cyano(3-phenoxyphenyl)methyl 2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropane-1-carboxylate",CC(C)=CC1C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,"InChI=1/C24H25NO3/c1-16(2)13-20-22(24(20,3)4)23(26)28-21(15-25)17-9-8-12-19(14-17)27-18-10-6-5-7-11-18/h5-14,20-22H,1-4H3
",C24H25NO3,375.468,375.183444,1,6/236,236,3
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4032667,Es-fenvalerate,66230-04-4,NYPJDWWKZLNGGM-RPWUZVMVSA-N,(S)-Cyano(3-phenoxyphenyl)methyl (2S)-2-(4-chlorophenyl)-3-methylbutanoate,CC(C)[C@H](C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(Cl)C=C1,"InChI=1S/C25H22ClNO3/c1-17(2)24(18-11-13-20(26)14-12-18)25(28)30-23(16-27)19-7-6-10-22(15-19)29-21-8-4-3-5-9-21/h3-15,17,23-24H,1-2H3/t23-,24+/m1/s1
",C25H22ClNO3,419.91,419.128821,1,118/714,714,17
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4034738,Metofluthrin,240494-70-6,KVIZNNVXXNFLMU-UHFFFAOYSA-N,"[2,3,5,6-Tetrafluoro-4-(methoxymethyl)phenyl]methyl 2,2-dimethyl-3-(prop-1-en-1-yl)cyclopropane-1-carboxylate",COCC1=C(F)C(F)=C(COC(=O)C2C(C=CC)C2(C)C)C(F)=C1F,"InChI=1/C18H20F4O3/c1-5-6-11-12(18(11,2)3)17(23)25-8-10-15(21)13(19)9(7-24-4)14(20)16(10)22/h5-6,11-12H,7-8H2,1-4H3
",C18H20F4O3,360.349,360.134857,1, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4046812,Transfluthrin,118712-89-3,DDVNRFNDOPPVQJ-HQJQHLMTSA-N,"(2,3,5,6-Tetrafluorophenyl)methyl (1R,3S)-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)OCC1=C(F)C(F)=CC(F)=C1F,"InChI=1S/C15H12Cl2F4O2/c1-15(2)7(3-10(16)17)11(15)14(22)23-5-6-12(20)8(18)4-9(19)13(6)21/h3-4,7,11H,5H2,1-2H3/t7-,11+/m1/s1
",C15H12Cl2F4O2,371.15,370.015048,1,2/78,78,3
