,name,pri,casrn,class,mw,use
0,,10243,Not Listed,Not Listed,Not Listed,Not Listed
1,,10325,Not Listed,Not Listed,Not Listed,Not Listed
2,,10445,,,Not Listed,Not Listed
3,,10450,,,Not Listed,Not Listed
4,,10541,Not Listed,Not Listed,Not Listed,Not Listed
5,,10542,Not Listed,Not Listed,Not Listed,Not Listed
6,,10791,Not Listed,Not Listed,Not Listed,Not Listed
7,,10817,,,Not Listed,Not Listed
8,,10849,,,Not Listed,Not Listed
9,,10949,Not Listed,Not Listed,Not Listed,Not Listed
10,,10957,Not Listed,Not Listed,Not Listed,Not Listed
11,,11148,,Not Listed,Not Listed,
12,,11169,Not Listed,Not Listed,Not Listed,Not Listed
13,,11171,Not Listed,Not Listed,Not Listed,Not Listed
14,,11322,Not Listed,Not Listed,Not Listed,Not Listed
15,,11399,Not Listed,Not Listed,Not Listed,Not Listed
16,,11619,Not Listed,Not Listed,Not Listed,Not Listed
17,,11807,,,Not Listed,Not Listed
18,,11991,,,Not Listed,Not Listed
19,,12615,Not Listed,Not Listed,Not Listed,Not Listed
20,,14216,,Not Listed,Not Listed,
21,,14446,Not Listed,Not Listed,Not Listed,Not Listed
22,Arsenic sulfide,14614,"12612-21-4, 12344-68-2","Inorganic-arsenic, Heavy metal",0,"Herbicide,Insecticide,Rodenticide"
23,"Alcohols, C12-C14, aliphatic",14615,Not Listed,Not Listed,0,Not Listed
24,Aliphatic polycarboxylate,14616,Not Listed,Polymer,0,Adjuvant
25,"Bacillus thuringiensis, subsp. Israelensis, strain AM 65-52",14617,Not Listed,Microbial,0,Insecticide
26,Bacillus thuringiensis var. Aizawai mocry 1F and the genetic material necessary for its production (plasmid insert PHP 12537) in,14618,Not Listed,GE Crop,0,Insecticide
27,Device electrical,14619,Not Listed,Unclassified,0,Not Listed
28,Device heat,14620,Not Listed,Unclassified,0,Insecticide
29,Device microwave,14621,Not Listed,Unclassified,0,Insecticide
30,Diallyl monosulfide,14622,Not Listed,Botanical,0,Not Listed
31,Diallyl tetrasulfide,14623,Not Listed,Botanical,0,Not Listed
32,Diallyl trisulfide,14624,Not Listed,Botanical,178.325,Not Listed
33,Diammonium salt of phosphorous acid,14625,Not Listed,Inorganic,0,Fungicide
34,Dipotassium salt of phosphorous acid,14626,Not Listed,Inorganic,0,Fungicide
35,Disodium salt of phosphorous acid,14627,Not Listed,Inorganic,0,Fungicide
36,Monoammonium salt of phosphorous acid,14628,Not Listed,Inorganic,0,Fungicide
37,Monopotassium salt of phosphorous acid,14629,Not Listed,Inorganic,0,Fungicide
38,Monosodium salt of phosphorous acid,14630,Not Listed,Inorganic,0,Fungicide
39,Nitrate,14631,14797-55-8,Not Listed,0,Not Listed
40,Polymeric terpenes,14632,Not Listed,Polymer,0,Insecticide
41,Yucca schidigera,14633,Not Listed,Botanical,0,Not Listed
42,Surfonic AGM-550,14634,176022-82-5,Not Listed,0,Not Listed
43,Alpha-alkyl (C10-C20)-omega-hydroxypoly(oxyethylene),14635,Not Listed,Polyalkyloxy Compound,0,Adjuvant
44,Alpha-alkyl (C9-C18)-omega-hydroxypoly(oxyethylene),14636,Not Listed,Polyalkyloxy Compound,0,Adjuvant
45,Alpha-alkyl (secondary C12-C14)-omega-hydroxypoly(oxyethylene),14637,Not Listed,Polyalkyloxy Compound,0,Adjuvant
46,Alpha-decyl-omega-hydroxypoly(oxyethylene) phosphate,14638,Not Listed,Polyalkyloxy Compound,0,Adjuvant
47,"Bacillus thuringiensis, Subsp. Aizawai, Strain ABTS-1857",14639,Not Listed,Microbial,0,Insecticide
48,"Bacillus thuringiensis, subsp. Kurstaki, strain ABTS-351, fermentation solids and solubles",14640,Not Listed,Microbial,0,Insecticide
49,Ethyl acrylate and methyl methacrylate copolymer,14641,Not Listed,Polymer,0,Adjuvant
50,Methylated soybean oil,14642,67784-80-9,Not Listed,0,Insecticide
51,Atrazine mercapturate,14643,Not Listed,Not Listed,0,Breakdown product
52,Alachlor mercapturate,14644,Not Listed,Unclassified,0,Breakdown product
53,"Alpha-(ortho,para-dinonylphenyl)-omega-hydroxypolyoxy(ethylene) Phosphate",14645,Not Listed,Polyalkyloxy Compound,0,Adjuvant
54,Alpha-alkyl (C12-C16)-omega-hydroxypoly(oxyethylene),14646,Not Listed,Polyalkyloxy Compound,0,Adjuvant
55,"Fatty Acids, C16-C18 and C18-unsaturated, methyl esters",14647,Not Listed,Fatty acid ester,0,Adjuvant
56,Poly(oxyethylene) poly(oxypropyleneglycol monoallyl ether,14648,Not Listed,Polyalkyloxy Compound,0,Adjuvant
57,Polyoxyethylene sorbitan mixed fatty acid esters,14649,Not Listed,Polyalkyloxy Compound,0,Adjuvant
58,Sodium decyl sulfate,14650,Not Listed,Soap,0,Soap or Surfactant
59,Sodium lauroampho acetate,14651,Not Listed,Soap,0,Soap or Surfactant
60,Fipronil sulfone,14652,120068-36-2,Unclassified,0,Breakdown product
61,Fipronil amide,14653,205650-69-7,Unclassified,0,Breakdown product
62,Phostebupirim oxon,14654,Not Listed,Organophosphorus,0,Breakdown product
63,Fenthion sulfoxide,14655,3761-41-9,Organophosphorus,294.1,Breakdown product
64,Terbufos oxon sulfone,14656,Not Listed,Organophosphorus,0,Breakdown product
65,Fonofos oxon,14657,62697-92-1,Organophosphorus,0,Breakdown product
66,Dimethenamid oxanilic acid,14658,Not Listed,Unclassified,0,Breakdown product
67,Fipronil sulfide,14659,120067-83-6,Unclassified,0,Breakdown product
68,Tefluthrin metabolite [R 152912],14661,Not Listed,Unclassified,0,Breakdown product
69,Flufenacet ethanesulfonic acid,14662,Not Listed,Unclassified,0,Breakdown product
70,Dimethenamid ethanesulfonic acid,14663,Not Listed,Unclassified,0,Breakdown product
71,Flufenacet oxanilic acid,14664,Not Listed,Unclassified,0,Breakdown product
72,4-chloro-2-methylphenol,14665,Not Listed,Unclassified,0,Breakdown product
73,"2-Chloro-2',6'-diethylacetanilide",14666,Not Listed,Unclassified,0,Breakdown product
74,Tefluthrin metabolite [R 119364],14667,Not Listed,Unclassified,0,Breakdown product
75,4-chlorobenzyl methyl sulfone,14668,Not Listed,Unclassified,0,Breakdown product
76,Methyl trans-3-(2 2-dichlorovinyl)-2 2-dimethylcyclopropane-1-carboxylate,14669,Not Listed,Pyrethroid,0,Breakdown product
77,"Methyl cis-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane-1-carboxylate",14670,Not Listed,Pyrethroid,0,Breakdown product
78,2-Ethyl-6-methylaniline,14671,Not Listed,Unclassified,0,Breakdown product
79,2-Amino-N-isopropylbenzamide,14672,30391-89-0,Unclassified,178,Breakdown product
80,2-[(2-Ethyl-6-methylphenyl)-amino]-1-propanol,14673,Not Listed,Unclassified,0,Breakdown product
81,N-(4-Chlorophenyl)-N'-methylurea,14674,Not Listed,Urea,0,Breakdown product
82,4-Fluoro-3-phenoxybenzoic acid,14675,77279-89-1,Benzoic acid,232.21,Breakdown product
