,PREFERRED NAME,CASRN,SMILES,use
14,"1-bromo-3-chloro-5,5-dimethyl hydantoin",16079-88-2,CC1(C)N(Br)C(=O)N(Cl)C1=O,"Fungicide,Herbicide,Microbiocide"
15,1-Chloro-2-nitrobenzene,88-73-3,[O-][N+](=O)c1ccccc1Cl,Insecticide
16,1-Chloro-3-nitrobenzene,121-73-3,[O-][N+](=O)c1cccc(Cl)c1,Insecticide
17,1-Chloro-4-nitrobenzene,100-00-5,[O-][N+](=O)c1ccc(Cl)cc1,"Chemical intermediate,Insecticide"
18,1-Heptadecenyl-2-(2-hydroxyethyl)-2-imidazolinium chloride,"68-41-2, 53466-82-3",[Cl-].CCCCCCCCCCCCCCCC=C[NH+]1CCN=C1CCO,"Algaecide,Microbiocide"
20,"1-Hydroxymethyl-5,5-dimethyl hydantoin","116-25-6, 27636-82-4",CC1(C)N(CO)C(=O)NC1=O,"Fungicide,Herbicide,Microbiocide"
21,"1-Hydroxymethyl-5,7-dichloroindazole",42757-92-6,OCn1ncc2cc(Cl)cc(Cl)c12,Microbiocide
23,"1-methyl-3,5,7-triaza-1-azonia tricyclo (3.3.1.1.3.7) decane",76902-90-4,[Cl-].C[N+]12CN3CN(CN(C3)C1)C2,Microbiocide
24,1-Octanol,111-87-5,CCCCCCCCO,"Herbicide,Plant Growth Regulator"
25,"1,1,2,3-tetramethyl butylamine dodecyl benzene sulfonate",Not Listed,CCCCCCCCCCCCO[S](=O)(=O)c1ccccc1.CC(C)C(C)C(C)(C)N,"Adjuvant,Fungicide,Insecticide,Microbiocide"
27,"1,2-benzisothiazolin-3-one",2634-33-5,O=C1NSc2ccccc12,Microbiocide
28,"1,2-Benzisothiazolin-3-one, 2-butyl-",4299-07-4,CCCCN1Sc2ccccc2C1=O,Microbiocide
29,"1,2-dibromo-2,4-dicyanobutane",35691-65-7,BrCC(Br)(CCC#N)C#N,Microbiocide
30,"1,2-dichloropropane",78-87-5,CC(Cl)CCl,"Chemical intermediate,Fumigant,Impurity,Nematicide,Paints, coatings, resins,Solvent"
31,"1,2-Dichloropropane mixt. with 1,3-dichloropropene and methyl isothiocyanate",8066-01-1,ClC\C=C/Cl.ClC\C=C\Cl,"Fumigant,Nematicide"
33,"1,3-Bis(2-hydroxyethyl)-2-heptadecenyl imidazolinium chloride",76069-38-0,[Cl-].CCCCCCCCCCCCCCCC=CC1N(CCO)CC[NH+]1CCO,"Algaecide,Microbiocide"
34,"1,3-Dibromo-5-ethyl-5-methylhydantoin",82925-96-0,CCC1(C)N(Br)C(=O)N(Br)C1=O,Fungicide
35,"1,3-dibromo-5,5-dimethylhydantoin",77-48-5,CC1(C)N(Br)C(=O)N(Br)C1=O,"Fungicide,Herbicide,Microbiocide"
37,"1,3-Dichloro-5-ethyl-5-methylhydantoin",89415-87-2,CCC1(C)N(Cl)C(=O)N(Cl)C1=O,"Fungicide,Herbicide,Microbiocide"
38,"1,3-dichloro-5,5-dimethylhydantoin",118-52-5,CC1(C)N(Cl)C(=O)N(Cl)C1=O,"Fungicide,Herbicide,Microbiocide"
39,"1,3-Dichloropropene","542-75-6, 10061-01-5, 10061-02-6",ClCC=CCl,"Fumigant,Nematicide"
41,"1,3-Propanediamine, N-(3-aminopropyl)-N-dodecyl-",2372-82-9,CCCCCCCCCCCCN(CCCN)CCCN,Microbiocide
42,"1,3,5-Triethylhexahydro-s-triazine",7779-27-3,CCN1CN(CC)CN(CC)C1,Fungicide
43,"1,4-bis (bromoacetoxy)-2-butene",20679-58-7,BrCC(=O)OC\C=C/COC(=O)CBr,Microbiocide
