,PREFERRED NAME,CASRN,use,SMILES,mw,nheavy,alogp
0,"1-bromo-3-chloro-5,5-dimethyl hydantoin",16079-88-2,"Fungicide,Herbicide,Microbiocide",CC1(C)C(=O)N(Cl)C(=O)N1Br,241.472,11,1.4929000000000001
1,1-Chloro-2-nitrobenzene,88-73-3,Insecticide,O=[N+]([O-])c1ccccc1Cl,157.55599999999998,10,2.2482000000000006
2,1-Chloro-3-nitrobenzene,121-73-3,Insecticide,O=[N+]([O-])c1cccc(Cl)c1,157.55599999999998,10,2.2482000000000006
3,1-Chloro-4-nitrobenzene,100-00-5,"Chemical intermediate,Insecticide",O=[N+]([O-])c1ccc(Cl)cc1,157.55599999999998,10,2.2481999999999998
4,1-Heptadecenyl-2-(2-hydroxyethyl)-2-imidazolinium chloride,"68-41-2, 53466-82-3","Algaecide,Microbiocide",CCCCCCCCCCCCCCCC=CN1CCN=C1CCO,350.5910000000001,25,6.077900000000008
5,"1-Hydroxymethyl-5,5-dimethyl hydantoin","116-25-6, 27636-82-4","Fungicide,Herbicide,Microbiocide",CC1(C)C(=O)NC(=O)N1CO,158.15699999999998,11,-0.7334
6,"1-Hydroxymethyl-5,7-dichloroindazole",42757-92-6,Microbiocide,OCn1ncc2cc(Cl)cc(Cl)c21,217.05499999999998,13,2.2929000000000004
7,"1-methyl-3,5,7-triaza-1-azonia tricyclo (3.3.1.1.3.7) decane",76902-90-4,Microbiocide,C[N+]12CN3CN(CN(C3)C1)C2,155.225,11,-0.8751999999999991
8,1-Octanol,111-87-5,"Herbicide,Plant Growth Regulator",CCCCCCCCO,130.23100000000002,9,2.3392000000000013
10,"1,2-benzisothiazolin-3-one",2634-33-5,Microbiocide,O=c1[nH]sc2ccccc12,151.18999999999997,10,1.5896
11,"1,2-Benzisothiazolin-3-one, 2-butyl-",4299-07-4,Microbiocide,CCCCn1sc2ccccc2c1=O,207.298,14,2.863100000000001
12,"1,2-dibromo-2,4-dicyanobutane",35691-65-7,Microbiocide,N#CCCC(Br)(C#N)CBr,265.936,10,2.34236
13,"1,2-dichloropropane",78-87-5,"Chemical intermediate,Fumigant,Impurity,Nematicide,Paints, coatings, resins,Solvent",CC(Cl)CCl,112.98700000000001,5,1.8525
15,"1,3-Bis(2-hydroxyethyl)-2-heptadecenyl imidazolinium chloride",76069-38-0,"Algaecide,Microbiocide",CCCCCCCCCCCCCCCC=CC1N(CCO)CCN1CCO,396.6600000000002,28,4.952200000000006
16,"1,3-Dibromo-5-ethyl-5-methylhydantoin",82925-96-0,Fungicide,CCC1(C)C(=O)N(Br)C(=O)N1Br,299.95,12,2.0391
17,"1,3-dibromo-5,5-dimethylhydantoin",77-48-5,"Fungicide,Herbicide,Microbiocide",CC1(C)C(=O)N(Br)C(=O)N1Br,285.923,11,1.649
18,"1,3-Dichloro-5-ethyl-5-methylhydantoin",89415-87-2,"Fungicide,Herbicide,Microbiocide",CCC1(C)C(=O)N(Cl)C(=O)N1Cl,211.04799999999997,12,1.7269
19,"1,3-dichloro-5,5-dimethylhydantoin",118-52-5,"Fungicide,Herbicide,Microbiocide",CC1(C)C(=O)N(Cl)C(=O)N1Cl,197.02100000000002,11,1.3368
20,"1,3-Dichloropropene","542-75-6, 10061-01-5, 10061-02-6","Fumigant,Nematicide",ClC=CCCl,110.97100000000002,5,1.9777
21,"1,3-Propanediamine, N-(3-aminopropyl)-N-dodecyl-",2372-82-9,Microbiocide,CCCCCCCCCCCCN(CCCN)CCCN,299.547,21,3.906900000000001
22,"1,3,5-Triethylhexahydro-s-triazine",7779-27-3,Fungicide,CCN1CN(CC)CN(CC)C1,171.28799999999995,12,0.8382000000000003
23,"1,4-bis (bromoacetoxy)-2-butene",20679-58-7,Microbiocide,O=C(CBr)OC/C=C\COC(=O)CBr,329.972,14,1.4188
25,"1,080",62-74-8,"Insecticide,Rodenticide",O=C(O)CF,78.042,5,0.040500000000000036
26,Tralopyril,122454-29-9,Molluscicide,N#Cc1c(-c2ccc(Cl)cc2)[nH]c(C(F)(F)F)c1Br,349.537,19,4.988080000000001
28,2-((hydroxymethyl)amino) ethanol,34375-28-5,Microbiocide,OCCNCO,91.11,6,-1.4819000000000002
29,2-((hydroxymethyl)amino)-2-methyl-1-propanol,52299-20-4,Microbiocide,CC(C)(CO)NCO,119.16399999999999,8,-0.7033
30,2-(2-(p-(diisobutyl) phenoxy) ethoxy) ethyl dimethyl ammonium chloride,121-54-0,Microbiocide,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,412.6380000000001,30,6.072400000000007
31,2-(2-butoxy ethoxy) ethyl thiocyanate,112-56-1,Insecticide,CCCCOCCOCCSC#N,203.307,13,2.03398
33,2-(2'-hydroxy-5-methyl phenyl)-benzotriazole,2440-22-4,Fungicide,Cc1ccc(O)c(-n2nc3ccccc3n2)c1,225.25100000000003,17,2.43452
34,2-(4-chlorophenylmethyl)-3(2H)-isothiazolone,26530-09-6,Microbiocide,O=c1ccsn1Cc1ccc(Cl)cc1,225.70000000000005,14,2.6115000000000004
35,"2-(4,5-Dimethyl-1,3-dioxolan-2-yl)phenyl-N-methylcarbamate",7122-04-5,Insecticide,CNC(=O)Oc1ccccc1C1OC(C)C(C)O1,251.28199999999998,18,2.2272
36,"2-(chlorophenoxy)propionic acid, sodium salt",53404-22-1,"Herbicide,Plant Growth Regulator",CC(Oc1cccc(Cl)c1)C(=O)O,200.62099999999998,13,2.1918999999999995
38,2-(Diethylamino)-4-(isopropylamino)-6-methoxy-s-triazine,3004-70-4,Herbicide,CCN(CC)c1nc(NC(C)C)nc(OC)n1,239.323,17,1.5466999999999997
39,2-(p-Hydroxyphenyl)oxoacetohydroximic chloride,34911-46-1,Microbiocide,O=C(/C(Cl)=N/O)c1ccc(O)cc1,199.59300000000002,13,1.6014
40,2-(trichlorophenoxy)ethyl hydrogen sulfate,69633-04-1,Herbicide,O=S(=O)(O)OCCOc1ccc(Cl)c(Cl)c1Cl,321.56500000000005,17,2.8450000000000015
41,2-bromo-4-hydroxyacetophenone,2491-38-5,Microbiocide,O=C(CBr)c1ccc(O)cc1,215.04600000000002,11,1.9697999999999998
42,2-butoxy ethanol phosphate,78-51-3,"Fungicide,Microbiocide",CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,398.47700000000026,26,4.594400000000005
43,2-Butoxyethanol,111-76-2,"Adjuvant,Fungicide,Microbiocide,Solvent",CCCCOCCO,118.17599999999999,8,0.7953999999999999
44,2-chloro-4-((hydroxymethyl)amino)-6-(isopropylamino)-s-triazine,29450-57-5,Herbicide,CC(C)Nc1nc(Cl)nc(NCO)n1,217.66000000000003,14,0.7069999999999999
45,2-chloro-4-phenylphenol,92-04-6,Microbiocide,Oc1ccc(-c2ccccc2)cc1Cl,204.656,14,3.712600000000001
