,PREFERRED NAME,CASRN,use,SMILES,alogp
14,"1-bromo-3-chloro-5,5-dimethyl hydantoin",16079-88-2,"Fungicide,Herbicide,Microbiocide",CC1(C)N(Br)C(=O)N(Cl)C1=O,1.4929000000000001
15,1-Chloro-2-nitrobenzene,88-73-3,Insecticide,[O-][N+](=O)c1ccccc1Cl,2.2482000000000006
16,1-Chloro-3-nitrobenzene,121-73-3,Insecticide,[O-][N+](=O)c1cccc(Cl)c1,2.2482000000000006
17,1-Chloro-4-nitrobenzene,100-00-5,"Chemical intermediate,Insecticide",[O-][N+](=O)c1ccc(Cl)cc1,2.2481999999999998
18,1-Heptadecenyl-2-(2-hydroxyethyl)-2-imidazolinium chloride,"68-41-2, 53466-82-3","Algaecide,Microbiocide",CCCCCCCCCCCCCCCC=C[NH+]1CCN=C1CCO,4.6608000000000045
20,"1-Hydroxymethyl-5,5-dimethyl hydantoin","116-25-6, 27636-82-4","Fungicide,Herbicide,Microbiocide",CC1(C)N(CO)C(=O)NC1=O,-0.7334
21,"1-Hydroxymethyl-5,7-dichloroindazole",42757-92-6,Microbiocide,OCn1ncc2cc(Cl)cc(Cl)c12,2.2929000000000004
23,"1-methyl-3,5,7-triaza-1-azonia tricyclo (3.3.1.1.3.7) decane",76902-90-4,Microbiocide,C[N+]12CN3CN(CN(C3)C1)C2,-0.8751999999999991
24,1-Octanol,111-87-5,"Herbicide,Plant Growth Regulator",CCCCCCCCO,2.3392000000000013
27,"1,2-benzisothiazolin-3-one",2634-33-5,Microbiocide,O=C1NSc2ccccc12,1.5896
28,"1,2-Benzisothiazolin-3-one, 2-butyl-",4299-07-4,Microbiocide,CCCCN1Sc2ccccc2C1=O,2.863100000000001
29,"1,2-dibromo-2,4-dicyanobutane",35691-65-7,Microbiocide,BrCC(Br)(CCC#N)C#N,2.34236
30,"1,2-dichloropropane",78-87-5,"Chemical intermediate,Fumigant,Impurity,Nematicide,Paints, coatings, resins,Solvent",CC(Cl)CCl,1.8525
33,"1,3-Bis(2-hydroxyethyl)-2-heptadecenyl imidazolinium chloride",76069-38-0,"Algaecide,Microbiocide",CCCCCCCCCCCCCCCC=CC1N(CCO)CC[NH+]1CCO,3.535100000000002
34,"1,3-Dibromo-5-ethyl-5-methylhydantoin",82925-96-0,Fungicide,CCC1(C)N(Br)C(=O)N(Br)C1=O,2.0391000000000004
35,"1,3-dibromo-5,5-dimethylhydantoin",77-48-5,"Fungicide,Herbicide,Microbiocide",CC1(C)N(Br)C(=O)N(Br)C1=O,1.6490000000000002
37,"1,3-Dichloro-5-ethyl-5-methylhydantoin",89415-87-2,"Fungicide,Herbicide,Microbiocide",CCC1(C)N(Cl)C(=O)N(Cl)C1=O,1.7269
38,"1,3-dichloro-5,5-dimethylhydantoin",118-52-5,"Fungicide,Herbicide,Microbiocide",CC1(C)N(Cl)C(=O)N(Cl)C1=O,1.3368
39,"1,3-Dichloropropene","542-75-6, 10061-01-5, 10061-02-6","Fumigant,Nematicide",ClCC=CCl,1.9777
41,"1,3-Propanediamine, N-(3-aminopropyl)-N-dodecyl-",2372-82-9,Microbiocide,CCCCCCCCCCCCN(CCCN)CCCN,3.906900000000001
42,"1,3,5-Triethylhexahydro-s-triazine",7779-27-3,Fungicide,CCN1CN(CC)CN(CC)C1,0.8382000000000003
43,"1,4-bis (bromoacetoxy)-2-butene",20679-58-7,Microbiocide,BrCC(=O)OC\C=C/COC(=O)CBr,1.4187999999999998
44,"10,10'-Oxybisphenoxyarsine",58-36-6,"Fungicide,Microbiocide",O([As]1c2ccccc2Oc3ccccc13)[As]4c5ccccc5Oc6ccccc46,2.826200000000001
45,"1,080",62-74-8,"Insecticide,Rodenticide",O=C([O-])CF,-1.2942
47,Tralopyril,122454-29-9,Molluscicide,FC(F)(F)c1[nH]c(c2ccc(Cl)cc2)c(C#N)c1Br,4.988080000000002
49,2-((hydroxymethyl)amino) ethanol,34375-28-5,Microbiocide,OCCNCO,-1.4819000000000002
50,2-((hydroxymethyl)amino)-2-methyl-1-propanol,52299-20-4,Microbiocide,CC(C)(CO)NCO,-0.7033
51,2-(2-(p-(diisobutyl) phenoxy) ethoxy) ethyl dimethyl ammonium chloride,121-54-0,Microbiocide,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,6.072400000000007
52,2-(2-butoxy ethoxy) ethyl thiocyanate,112-56-1,Insecticide,CCCCOCCOCCSC#N,2.03398
54,2-(2'-hydroxy-5-methyl phenyl)-benzotriazole,2440-22-4,Fungicide,Cc1ccc(O)c(c1)n2nc3ccccc3n2,2.43452
55,2-(4-chlorophenylmethyl)-3(2H)-isothiazolone,26530-09-6,Microbiocide,Clc1ccc(CN2SC=CC2=O)cc1,2.6115000000000004
56,"2-(4,5-Dimethyl-1,3-dioxolan-2-yl)phenyl-N-methylcarbamate",7122-04-5,Insecticide,CNC(=O)Oc1ccccc1C2OC(C)C(C)O2,2.2272
57,"2-(chlorophenoxy)propionic acid, sodium salt",53404-22-1,"Herbicide,Plant Growth Regulator",CC(Oc1cccc(Cl)c1)C(=O)[O-],0.8571999999999997
59,2-(Diethylamino)-4-(isopropylamino)-6-methoxy-s-triazine,3004-70-4,Herbicide,CCN(CC)c1nc(NC(C)C)nc(OC)n1,1.5466999999999997
61,2-(p-Hydroxyphenyl)oxoacetohydroximic chloride,34911-46-1,Microbiocide,O\N=C(Cl)\C(=O)c1ccc(O)cc1,1.6014
63,2-(trichlorophenoxy)ethyl hydrogen sulfate,69633-04-1,Herbicide,O[S](=O)(=O)OCCOc1ccc(Cl)c(Cl)c1Cl,2.8450000000000015
70,2-bromo-4-hydroxyacetophenone,2491-38-5,Microbiocide,Oc1ccc(cc1)C(=O)CBr,1.9697999999999998
71,2-butoxy ethanol phosphate,78-51-3,"Fungicide,Microbiocide",CCCCOCCO[P](=O)(OCCOCCCC)OCCOCCCC,4.594400000000005
72,2-Butoxyethanol,111-76-2,"Adjuvant,Fungicide,Microbiocide,Solvent",CCCCOCCO,0.7953999999999999
73,2-chloro-4-((hydroxymethyl)amino)-6-(isopropylamino)-s-triazine,29450-57-5,Herbicide,CC(C)Nc1nc(Cl)nc(NCO)n1,0.7069999999999999
74,2-chloro-4-phenylphenol,92-04-6,Microbiocide,Oc1ccc(cc1Cl)c2ccccc2,3.712600000000002
75,"2-chloro-4-phenylphenol, potassium salt",18128-16-0,Microbiocide,[O-]c1ccc(-c2ccccc2)cc1Cl,3.0806000000000013
76,"2-chloro-4-phenylphenol, sodium salt",31366-97-9,Microbiocide,[O-]c1ccc(-c2ccccc2)cc1Cl,3.0806000000000013
77,"2-chloro-4,5-xylyl N-hydroxy-N-methylcarbamate","14357-82-5, 10310-17-5",Insecticide,CN(O)C(=O)Oc1cc(C)c(C)cc1Cl,2.7766400000000013
78,2-Chlorophenol,95-57-8,Microbiocide,Oc1ccccc1Cl,2.0456000000000003
79,"2-cyclohexyl-4,5-dichloro-4-isothioazolin-3-one",57063-29-3,Insecticide,ClC1=C(Cl)C(=O)N(S1)C2CCCCC2,3.7218000000000018
80,2-cyclopentylphenyl methylcarbamate,3282-00-6,Insecticide,CNC(=O)Oc1ccccc1C2CCCC2,3.062400000000002
83,2-EEEBC,62732-91-6,Fungicide,CCOCCOCCOC(=O)Nc1[nH]c2ccccc2n1,2.1645000000000003
84,2-ethoxyethanol,110-80-5,"Chemical intermediate,Fuel or fuel additive,Fungicide,Microbiocide,Paints, coatings, resins,Solvent",CCOCCO,0.015200000000000047
85,2-Heptadecenyl-2-imidazoline,30968-43-5,"Algaecide,Microbiocide",CCCCCCCCCCCCCC\C=C/CC1=NCCN1,6.025600000000006
